22249,ASTR 102 - 01,LAB: Intro to Astronomy,12,0 / 12,Observatory 123,08:30 pm - 10:30 pm,T,Stephen Slivan,,,More
22250,ASTR 102 - 02,LAB: Intro to Astronomy,9,3 / 12,Observatory 123,08:30 pm - 10:30 pm,W,Stephen Slivan,,,More
22251,ASTR 102 - 03,LAB: Intro to Astronomy,6,6 / 12,Observatory 123,08:30 pm - 10:30 pm,Th,Stephen Slivan,,,More
24276,ASTR 110 - 01,FYS: Einstein & the Dark Univ,12,0 / 12,Science Center E111,03:00 pm - 04:30 pm,MTh,James Battat,,"MM, NPS",More
24310,ASTR 203 - 01,Planetary Geology,20,0 / 20,Observatory 114,02:50 pm - 04:00 pm,TF,Wesley Watters,,NPS,More
24311,ASTR 210 - 01,Cosmology,15,5 / 20,Observatory 114,11:10 am - 12:20 pm,TF,Kim McLeod,,"MM, NPS",More
24313,ASTR 303 - 01,Advanced Planetary Geology,20,0 / 20,Observatory 114,02:50 pm - 04:00 pm,TF,Wesley Watters,,NPS,More
24576,BABS 1000 - 01,Intro to Financial Accounting,0,20 / 20,Pendleton Hall East 139,06:00 pm - 09:30 pm,Th,,,,More
22157,BIOC 220 - 01,Cell Biology w/Lab,53,7 / 60,Science Center 278,09:50 am - 11:00 am,MTh,Louise Darling,John Goss,NPS,More
22164,BIOC 220 - L01,LAB: Cell Biology,12,0 / 12,Science Center 304,01:30 pm - 05:00 pm,M,Louise Darling,,NPS,More
22165,BIOC 220 - L02,LAB: Cell Biology,12,0 / 12,Science Center 304,12:30 pm - 04:00 pm,T,Melissa Beers,,NPS,More
22166,BIOC 220 - L03,LAB: Cell Biology,11,1 / 12,Science Center 304,02:15 pm - 05:45 pm,W,Louise Darling,,NPS,More
23043,BIOC 220 - L04,LAB: Cell Biology,11,1 / 12,Science Center 304,01:00 pm - 04:30 pm,Th,Julie Roden,,NPS,More
23650,BIOC 220 - L05,LAB: Cell Biology,7,5 / 12,Science Center 304,01:00 pm - 04:30 pm,F,John Goss,,NPS,More
22158,BIOC 223 - 01,Fundmtls of Biochemistry w/Lab,24,0 / 24,Science Center 278,08:30 am - 09:40 am,MWTh,Donald Elmore,,NPS,More
22162,BIOC 223 - L01,LAB: Fundmtls of Biochemistry,6,0 / 6,Science Center 300,12:30 pm - 04:00 pm,T,Mona Hall,,NPS,More
22163,BIOC 223 - L02,LAB: Fundmtls of Biochemistry,6,0 / 6,Science Center 300,02:15 pm - 05:45 pm,W,Mona Hall,,NPS,More
24549,BIOC 223 - L03,LAB: Fundmtls of Biochemistry,6,0 / 6,Science Center 300,01:30 pm - 05:00 pm,Th,Elizabeth Oakes,,NPS,More
24550,BIOC 223 - L04,LAB: Fundmtls of Biochemistry,6,0 / 6,Science Center 300,12:30 pm - 04:00 pm,F,Mona Hall,,NPS,More
23432,BIOC 331 - 01,Intro Biophysical Chemistry,18,6 / 24,Science Center 104,11:10 am - 12:20 pm,MWTh,Mala Radhakrishnan,,"MM, NPS",More
